video_id,video_sha256,group,segment_id,scenario,frame_index,time_sec,gt_track_id,x1,y1,x2,y2,identity_certainty,visibility_note,annotation_note
V3_FEEDING,f123b08e6e9ef50e8d4873c4c3bf417083cd105af1a08696013af312cf8b7411,MULTI_FISH_FEEDING,F1_FEEDING_DENSE,FEEDING_DENSE,1184,41.62856762463343,1,44.0,481.0,225.0,610.0,CERTAIN,,
V3_FEEDING,f123b08e6e9ef50e8d4873c4c3bf417083cd105af1a08696013af312cf8b7411,MULTI_FISH_FEEDING,F1_FEEDING_DENSE,FEEDING_DENSE,1184,41.62856762463343,2,389.0,444.0,487.0,570.0,CERTAIN,,
V3_FEEDING,f123b08e6e9ef50e8d4873c4c3bf417083cd105af1a08696013af312cf8b7411,MULTI_FISH_FEEDING,F1_FEEDING_DENSE,FEEDING_DENSE,1184,41.62856762463343,3,589.0,346.0,701.0,497.0,CERTAIN,,
V3_FEEDING,f123b08e6e9ef50e8d4873c4c3bf417083cd105af1a08696013af312cf8b7411,MULTI_FISH_FEEDING,F1_FEEDING_DENSE,FEEDING_DENSE,1184,41.62856762463343,4,706.0,259.0,797.0,339.0,CERTAIN,,
V3_FEEDING,f123b08e6e9ef50e8d4873c4c3bf417083cd105af1a08696013af312cf8b7411,MULTI_FISH_FEEDING,F1_FEEDING_DENSE,FEEDING_DENSE,1184,41.62856762463343,5,795.0,234.0,873.0,358.0,CERTAIN,,
V3_FEEDING,f123b08e6e9ef50e8d4873c4c3bf417083cd105af1a08696013af312cf8b7411,MULTI_FISH_FEEDING,F1_FEEDING_DENSE,FEEDING_DENSE,1184,41.62856762463343,6,911.0,344.0,1048.0,476.0,CERTAIN,,
V3_FEEDING,f123b08e6e9ef50e8d4873c4c3bf417083cd105af1a08696013af312cf8b7411,MULTI_FISH_FEEDING,F1_FEEDING_DENSE,FEEDING_DENSE,1184,41.62856762463343,7,1018.0,134.0,1139.0,223.0,CERTAIN,,
V3_FEEDING,f123b08e6e9ef50e8d4873c4c3bf417083cd105af1a08696013af312cf8b7411,MULTI_FISH_FEEDING,F1_FEEDING_DENSE,FEEDING_DENSE,1184,41.62856762463343,8,955.0,732.0,1030.0,834.0,CERTAIN,,
V3_FEEDING,f123b08e6e9ef50e8d4873c4c3bf417083cd105af1a08696013af312cf8b7411,MULTI_FISH_FEEDING,F1_FEEDING_DENSE,FEEDING_DENSE,1185,41.66372688782991,1,51.0,487.0,204.0,597.0,CERTAIN,,
V3_FEEDING,f123b08e6e9ef50e8d4873c4c3bf417083cd105af1a08696013af312cf8b7411,MULTI_FISH_FEEDING,F1_FEEDING_DENSE,FEEDING_DENSE,1185,41.66372688782991,2,387.0,460.0,492.0,561.0,CERTAIN,,
V3_FEEDING,f123b08e6e9ef50e8d4873c4c3bf417083cd105af1a08696013af312cf8b7411,MULTI_FISH_FEEDING,F1_FEEDING_DENSE,FEEDING_DENSE,1185,41.66372688782991,3,590.0,351.0,699.0,474.0,CERTAIN,,
